Image_Number,Human1,Human2,Human3,Human4,Human5,Human6,Human7,Human8,Human9,Human10,Human11,Human12,Human13,Human14,Human15,Human16,Human17,Human18,Human19,Human20,Aura
537548,229.19,,,,,,,,,,,,,,,,,,,,229.19
117891,433.23,,,,,,,,,,,,,,,,,,,,433.23
120021,61.18,66.24,89.82,,,,,,,,,,,,,,,,,,72.41
403255,30.84,,,,,,,,,,,,,,,,,,,,30.84
209468,114.59,,,,,,,,,,,,,,,,,,,,114.59
101172,314.23,,,,,,,,,,,,,,,,,,,,314.23
143908,219.06,,,,,,,,,,,,,,,,,,,,219.06
184659,133.45,124.72,189.00,,,,,,,,,,,,,,,,,,149.06
390241,50.27,,,,,,,,,,,,,,,,,,,,50.27
567171,15.44,14.71,5.68,,,,,,,,,,,,,,,,,,11.94
398606,25.43,26.68,,,,,,,,,,,,,,,,,,,26.05
364113,94.16,89.99,5.85,4.82,,,,,,,,,,,,,,,,,48.70
535588,103.19,,,,,,,,,,,,,,,,,,,,103.19
279140,61.02,,,,,,,,,,,,,,,,,,,,61.02
275219,499.66,,,,,,,,,,,,,,,,,,,,499.66
494014,70.20,31.82,,,,,,,,,,,,,,,,,,,51.01
227224,268.67,67.40,,,,,,,,,,,,,,,,,,,168.04
390348,72.06,50.74,56.07,43.56,,,,,,,,,,,,,,,,,55.61
325768,68.86,117.87,30.32,14.64,23.64,32.83,22.50,29.32,61.34,,,,,,,,,,,,44.59
128119,28.59,33.59,25.61,42.22,15.53,,,,,,,,,,,,,,,,29.11
246265,52.70,30.21,16.99,21.71,26.94,22.35,19.19,47.13,23.84,23.80,12.53,8.26,24.19,,,,,,,,25.37
464153,38.10,,,,,,,,,,,,,,,,,,,,38.10
457254,304.15,,,,,,,,,,,,,,,,,,,,304.15
64909,240.95,,,,,,,,,,,,,,,,,,,,240.95
101013,40.02,22.97,86.00,14.19,19.05,11.95,17.45,,,,,,,,,,,,,,30.23
410350,98.71,48.54,112.18,92.76,,,,,,,,,,,,,,,,,88.05
160190,72.68,,,,,,,,,,,,,,,,,,,,72.68
286813,174.05,,,,,,,,,,,,,,,,,,,,174.05
215867,304.90,57.15,,,,,,,,,,,,,,,,,,,181.02
105647,38.39,53.71,131.38,49.51,39.78,40.81,31.48,35.97,69.73,36.09,8.88,16.09,32.75,272.00,,,,,,,61.18
534736,168.94,145.97,33.34,54.82,113.75,36.86,29.24,24.81,46.72,40.44,18.54,16.11,6.51,639.00,,,,,,,98.22
103134,155.21,158.05,,,,,,,,,,,,,,,,,,,156.63
480591,157.48,89.06,165.74,116.49,91.92,,,,,,,,,,,,,,,,124.14
360735,127.73,,,,,,,,,,,,,,,,,,,,127.73
528962,69.95,28.02,56.80,,,,,,,,,,,,,,,,,,51.59
210060,99.79,58.55,,,,,,,,,,,,,,,,,,,79.17
254919,57.17,48.31,23.62,24.24,31.93,13.00,,,,,,,,,,,,,,,33.05
85316,65.10,57.59,42.15,33.69,33.57,,,,,,,,,,,,,,,,46.42
50713,76.61,44.48,28.16,60.98,32.81,28.21,27.98,43.30,64.15,29.58,33.40,25.54,,,,,,,,,41.27
12754,234.43,122.25,,,,,,,,,,,,,,,,,,,178.34
453065,157.15,,,,,,,,,,,,,,,,,,,,157.15
145025,250.06,,,,,,,,,,,,,,,,,,,,250.06
161112,283.13,,,,,,,,,,,,,,,,,,,,283.13
57703,64.85,146.29,129.36,,,,,,,,,,,,,,,,,,113.50
118181,128.67,,,,,,,,,,,,,,,,,,,,128.67
516805,21.86,12.03,33.41,20.80,,,,,,,,,,,,,,,,,22.02
154222,302.96,152.24,103.76,49.23,,,,,,,,,,,,,,,,,152.05
390298,209.18,,,,,,,,,,,,,,,,,,,,209.18
147386,198.88,16.60,7.16,9.11,,,,,,,,,,,,,,,,,57.94
301641,10.90,,,,,,,,,,,,,,,,,,,,10.90
76942,95.13,,,,,,,,,,,,,,,,,,,,95.13
268927,195.51,34.27,,,,,,,,,,,,,,,,,,,114.89
17741,11.10,15.39,6.59,5.73,12.78,17.00,11.63,5.19,18.86,25.31,9.01,13.90,4.25,105.00,,,,,,,18.70
345071,119.91,29.94,52.03,121.87,31.28,52.85,42.16,61.98,20.52,,,,,,,,,,,,59.17
177069,432.21,,,,,,,,,,,,,,,,,,,,432.21
346965,445.56,101.62,,,,,,,,,,,,,,,,,,,273.59
19523,98.24,99.20,74.93,,,,,,,,,,,,,,,,,,90.79
107960,97.60,,,,,,,,,,,,,,,,,,,,97.60
521994,82.05,,,,,,,,,,,,,,,,,,,,82.05
263687,366.36,35.21,69.01,,,,,,,,,,,,,,,,,,156.86
147979,152.11,,,,,,,,,,,,,,,,,,,,152.11
403432,113.76,,,,,,,,,,,,,,,,,,,,113.76
400456,81.26,,,,,,,,,,,,,,,,,,,,81.26
332221,61.35,70.11,43.85,38.74,13.87,15.57,31.13,29.39,10.31,15.93,17.92,18.11,7.57,385.00,,,,,,,54.20
297980,44.95,,,,,,,,,,,,,,,,,,,,44.95
349437,143.93,147.11,,,,,,,,,,,,,,,,,,,145.52
271177,19.83,23.58,23.23,,,,,,,,,,,,,,,,,,22.21
79754,295.64,,,,,,,,,,,,,,,,,,,,295.64
464515,186.97,139.18,98.09,57.82,75.12,,,,,,,,,,,,,,,,111.44
553698,43.17,65.08,47.12,,,,,,,,,,,,,,,,,,51.79
402514,289.12,,,,,,,,,,,,,,,,,,,,289.12
32124,135.36,83.61,76.38,77.35,,,,,,,,,,,,,,,,,93.18
264628,34.20,,,,,,,,,,,,,,,,,,,,34.20
103163,244.80,159.03,,,,,,,,,,,,,,,,,,,201.92
83935,52.35,63.55,82.15,19.04,14.27,16.73,7.76,20.99,19.50,14.82,12.56,13.70,,,,,,,,,28.12
390137,98.46,59.67,55.05,,,,,,,,,,,,,,,,,,71.06
515289,129.44,85.50,24.13,90.68,16.97,7.78,6.61,,,,,,,,,,,,,,51.59
19608,116.35,,,,,,,,,,,,,,,,,,,,116.35
388619,34.83,36.49,,,,,,,,,,,,,,,,,,,35.66
19157,152.29,169.08,90.58,26.35,61.52,13.45,,,,,,,,,,,,,,,85.55
175737,104.14,,,,,,,,,,,,,,,,,,,,104.14
362343,40.89,91.08,55.98,22.75,,,,,,,,,,,,,,,,,52.67
568961,9.90,,,,,,,,,,,,,,,,,,,,9.90
566456,53.59,,,,,,,,,,,,,,,,,,,,53.59
347836,335.78,101.54,,,,,,,,,,,,,,,,,,,218.66
386968,192.68,25.83,26.65,17.54,15.61,28.11,15.47,13.44,27.84,25.73,13.13,13.80,,,,,,,,,34.65
22816,233.38,44.20,18.63,144.86,52.59,36.79,,,,,,,,,,,,,,,88.41
216861,164.27,26.35,21.56,30.02,,,,,,,,,,,,,,,,,60.55
386279,70.62,7.17,14.59,,,,,,,,,,,,,,,,,,30.79
364079,212.30,92.05,,,,,,,,,,,,,,,,,,,152.18
31092,149.31,24.92,,,,,,,,,,,,,,,,,,,87.12
